textID,sortedAnswerList
1_1,50
1_2,-1
1_3,-1
1_4,50
1_5,50
2_1,54
2_2,-1
2_3,-1
2_4,89
2_5,-1
3_1,17
3_2,64
3_3,-1
3_4,64
3_5,64
4_1,59
4_2,59
4_3,-1
4_4,64
4_5,64
5_1,46
5_2,46
5_3,46
5_4,-1
5_5,-1
6_1,26
6_2,61
6_3,53
6_4,-1
6_5,-1
7_1,38
7_2,-1
7_3,-1
7_4,-1
7_5,-1
8_1,64
8_2,-1
8_3,-1
8_4,-1
8_5,64
9_1,43
9_2,4 35
9_3,35 43
9_4,35
9_5,4
10_1,46 65
10_2,46 65
10_3,46
10_4,65
10_5,-1
11_1,41
11_2,27
11_3,27
11_4,27
11_5,-1
12_1,-1
12_2,-1
12_3,64
12_4,-1
12_5,64
13_1,28
13_2,60
13_3,60
13_4,-1
13_5,-1
14_1,55
14_2,-1
14_3,30 47
14_4,30
14_5,-1
15_1,49
15_2,-1
15_3,32
15_4,63
15_5,-1
16_1,58
16_2,58 62
16_3,58 62
16_4,58
16_5,62
17_1,19
17_2,63
17_3,50
17_4,-1
17_5,-1
18_1,64
18_2,64
18_3,-1
18_4,-1
18_5,59
19_1,43
19_2,43
19_3,-1
19_4,-1
19_5,57
20_1,17
20_2,-1
20_3,-1
20_4,-1
20_5,-1
21_1,18
21_2,-1
21_3,-1
21_4,58
21_5,-1
22_1,9
22_2,9 64
22_3,9 64
22_4,9 64
22_5,9 64
23_1,58
23_2,58
23_3,17
23_4,-1
23_5,-1
24_1,78
24_2,-1
24_3,-1
24_4,78
24_5,78
25_1,60
25_2,-1
25_3,-1
25_4,60
25_5,-1
26_1,36 58
26_2,36
26_3,-1
26_4,36
26_5,-1
27_1,50 63
27_2,50 63
27_3,63
27_4,50
27_5,63
28_1,32 64
28_2,32
28_3,-1
28_4,-1
28_5,-1
29_1,23
29_2,-1
29_3,-1
29_4,50
29_5,50
30_1,46
30_2,46
30_3,76
30_4,76
30_5,63
31_1,73
31_2,73
31_3,41
31_4,41
31_5,41 73
32_1,63
32_2,-1
32_3,-1
32_4,63
32_5,63
33_1,48
33_2,48
33_3,16
33_4,-1
33_5,16
34_1,64
34_2,64
34_3,-1
34_4,-1
34_5,50
35_1,64
35_2,64
35_3,64
35_4,64
35_5,-1
36_1,70
36_2,70
36_3,-1
36_4,-1
36_5,-1
37_1,60
37_2,60
37_3,60
37_4,60
37_5,-1
38_1,70
38_2,70
38_3,-1
38_4,70
38_5,-1
39_1,59
39_2,-1
39_3,59
39_4,-1
39_5,59 64
40_1,89
40_2,85
40_3,85
40_4,89
40_5,89
41_1,64
41_2,64
41_3,-1
41_4,64
41_5,64
42_1,45
42_2,50
42_3,50
42_4,50
42_5,45
43_1,65
43_2,65
43_3,-1
43_4,65
43_5,-1
44_1,23
44_2,23 55
44_3,55
44_4,55
44_5,55
45_1,139
45_2,-1
45_3,172
45_4,160
45_5,160
46_1,83
46_2,83
46_3,-1
46_4,-1
46_5,-1
47_1,59
47_2,-1
47_3,59
47_4,-1
47_5,-1
48_1,58
48_2,58
48_3,-1
48_4,-1
48_5,58
49_1,43
49_2,43
49_3,-1
49_4,43 47
49_5,43 47
50_1,21
50_2,-1
50_3,44
50_4,44
50_5,-1
51_1,44
51_2,61
51_3,-1
51_4,44 57
51_5,61
52_1,71
52_2,42 71
52_3,-1
52_4,71
52_5,-1
53_1,-1
53_2,-1
53_3,-1
53_4,-1
53_5,61
54_1,8 18
54_2,8
54_3,8
54_4,8
54_5,8
55_1,23 49
55_2,49
55_3,49
55_4,49
55_5,49
56_1,22 62
56_2,62
56_3,62
56_4,-1
56_5,62
57_1,8
57_2,49
57_3,49
57_4,-1
57_5,49
58_1,4
58_2,62
58_3,4
58_4,-1
58_5,-1
59_1,72
59_2,72
59_3,-1
59_4,99
59_5,-1
60_1,60
60_2,37 60
60_3,37 60
60_4,37 60
60_5,-1
61_1,49
61_2,-1
61_3,49
61_4,-1
61_5,-1
62_1,63
62_2,-1
62_3,-1
62_4,63 100
62_5,-1
63_1,22 34
63_2,34
63_3,34
63_4,34
63_5,56
64_1,22
64_2,22
64_3,22
64_4,22
64_5,22
65_1,65
65_2,65
65_3,-1
65_4,-1
65_5,-1
66_1,9
66_2,9 17
66_3,9 17
66_4,63
66_5,-1
67_1,62
67_2,49
67_3,49
67_4,49
67_5,62
68_1,60
68_2,60
68_3,60
68_4,-1
68_5,-1
69_1,18
69_2,-1
69_3,64
69_4,-1
69_5,-1
70_1,59
70_2,59
70_3,-1
70_4,59
70_5,-1
71_1,49
71_2,-1
71_3,49
71_4,-1
71_5,49
72_1,65
72_2,-1
72_3,-1
72_4,65
72_5,-1
73_1,-1
73_2,-1
73_3,-1
73_4,36
73_5,-1
74_1,19
74_2,33
74_3,-1
74_4,51
74_5,-1
75_1,18
75_2,-1
75_3,-1
75_4,-1
75_5,65
76_1,61
76_2,61
76_3,-1
76_4,-1
76_5,-1
77_1,69
77_2,-1
77_3,-1
77_4,-1
77_5,-1
78_1,9
78_2,-1
78_3,9 55
78_4,9
78_5,-1
79_1,63
79_2,63
79_3,-1
79_4,63
79_5,-1
80_1,22
80_2,-1
80_3,63
80_4,30
80_5,30
81_1,59
81_2,59
81_3,59
81_4,17
81_5,-1
82_1,56
82_2,30
82_3,-1
82_4,-1
82_5,56
83_1,59
83_2,31
83_3,-1
83_4,59
83_5,-1
84_1,37
84_2,-1
84_3,55
84_4,55 68
84_5,-1
85_1,19
85_2,-1
85_3,-1
85_4,-1
85_5,-1
86_1,17
86_2,36
86_3,-1
86_4,-1
86_5,-1
87_1,63
87_2,-1
87_3,-1
87_4,63
87_5,36
88_1,22
88_2,-1
88_3,45
88_4,-1
88_5,-1
89_1,50
89_2,50
89_3,46
89_4,-1
89_5,58
90_1,-1
90_2,64
90_3,-1
90_4,50
90_5,50
91_1,22
91_2,-1
91_3,-1
91_4,-1
91_5,-1
92_1,50
92_2,45
92_3,45
92_4,45
92_5,45
93_1,58
93_2,58
93_3,-1
93_4,58
93_5,-1
94_1,46
94_2,-1
94_3,-1
94_4,65
94_5,-1
95_1,28
95_2,-1
95_3,69
95_4,69
95_5,69
96_1,49
96_2,63
96_3,-1
96_4,-1
96_5,58
97_1,45
97_2,45
97_3,45
97_4,-1
97_5,63
98_1,69
98_2,-1
98_3,-1
98_4,69
98_5,69 77
99_1,-1
99_2,30
99_3,-1
99_4,-1
99_5,-1
100_1,4
100_2,-1
100_3,4
100_4,4
100_5,36
101_1,46
101_2,-1
101_3,-1
101_4,46
101_5,46 64
102_1,45
102_2,45
102_3,-1
102_4,-1
102_5,58
103_1,49
103_2,49
103_3,49
103_4,-1
103_5,8 30
104_1,35 64
104_2,35 64
104_3,-1
104_4,58
104_5,-1
105_1,19
105_2,-1
105_3,36 51
105_4,-1
105_5,36
106_1,48 62
106_2,21
106_3,48
106_4,21
106_5,21
107_1,36
107_2,36
107_3,36
107_4,36
107_5,36
108_1,49
108_2,49
108_3,49
108_4,67
108_5,49 67
109_1,-1
109_2,44
109_3,44
109_4,63
109_5,-1
110_1,61
110_2,30
110_3,61
110_4,43
110_5,43
111_1,64
111_2,-1
111_3,59 64
111_4,59
111_5,64
112_1,63
112_2,63
112_3,-1
112_4,36
112_5,-1
113_1,4
113_2,35
113_3,4
113_4,-1
113_5,-1
114_1,-1
114_2,-1
114_3,48
114_4,62
114_5,-1
115_1,45
115_2,-1
115_3,-1
115_4,-1
115_5,45
116_1,50
116_2,-1
116_3,50
116_4,-1
116_5,64
117_1,-1
117_2,-1
117_3,-1
117_4,-1
117_5,63
118_1,62
118_2,35
118_3,58 62
118_4,-1
118_5,-1
119_1,4 46
119_2,4
119_3,4 46
119_4,4 46
119_5,4 46
120_1,92
120_2,-1
120_3,92
120_4,-1
120_5,-1
121_1,51 64
121_2,51
121_3,51 64
121_4,-1
121_5,64
122_1,37
122_2,-1
122_3,-1
122_4,-1
122_5,-1
123_1,31
123_2,31 61
123_3,31 61
123_4,61
123_5,61
124_1,36 64
124_2,36 64
124_3,64
124_4,-1
124_5,64
125_1,63
125_2,-1
125_3,-1
125_4,-1
125_5,-1
126_1,29
126_2,29
126_3,29
126_4,42
126_5,29 78
127_1,24
127_2,-1
127_3,-1
127_4,-1
127_5,-1
128_1,63
128_2,63
128_3,58 63
128_4,-1
128_5,58 63
129_1,56
129_2,35
129_3,56
129_4,48 56
129_5,35
130_1,21 49
130_2,-1
130_3,49
130_4,-1
130_5,-1
131_1,17 61
131_2,61
131_3,-1
131_4,61
131_5,-1
132_1,66
132_2,66
132_3,62
132_4,62
132_5,66
133_1,17 30
133_2,43
133_3,-1
133_4,-1
133_5,-1
134_1,36
134_2,36
134_3,-1
134_4,61
134_5,57
135_1,69
135_2,-1
135_3,-1
135_4,69
135_5,-1
136_1,24
136_2,-1
136_3,-1
136_4,-1
136_5,-1
137_1,4
137_2,4 65
137_3,4 65
137_4,-1
137_5,-1
138_1,64
138_2,17
138_3,17 64
138_4,64
138_5,17
139_1,79
139_2,-1
139_3,-1
139_4,-1
139_5,79
140_1,52
140_2,52
140_3,38
140_4,38
140_5,38
141_1,-1
141_2,41 55
141_3,41 55
141_4,-1
141_5,55
142_1,59
